date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:53:10	96/96	---M-Z	200	added ('OK')	text/plain	date:Sun,%2031%20Dec%202017%2004:18:33%20GMT	http://connectwithakash.blogspot.in/robots.txt		(from )
09:53:11	276125/276125	---M-Z	200	added ('OK')	text/html	date:Sun,%2031%20Dec%202017%2004:18:33%20GMT	http://connectwithakash.blogspot.in/	C:/My%20Web%20Sites/portfolio/connectwithakash.blogspot.in/index.html	(from )
09:53:12	1150/1150	---M-Z	200	added ('OK')	image/x-icon	date:Sun,%2031%20Dec%202017%2004:18:33%20GMT	http://connectwithakash.blogspot.in/favicon.ico	C:/My%20Web%20Sites/portfolio/connectwithakash.blogspot.in/favicon.ico	(from http://connectwithakash.blogspot.in/)
09:53:12	36209/36209	---MC-	200	added ('OK')	text/css	date:Mon,%2011%20Dec%202017%2002:31:02%20GMT	https://www.blogger.com/static/v1/widgets/3332739511-widget_css_bundle.css	C:/My%20Web%20Sites/portfolio/www.blogger.com/static/v1/widgets/3332739511-widget_css_bundle.css	(from http://connectwithakash.blogspot.in/)
09:53:12	97163/97163	---MC-	200	added ('OK')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1.12.4/jquery.min.js	C:/My%20Web%20Sites/portfolio/ajax.googleapis.com/ajax/libs/jquery/1.12.4/jquery.min.js	(from http://connectwithakash.blogspot.in/)
09:53:13	7354/7354	---M-Z	200	added ('OK')	text/css	etag:%220b704046d76bb4d3929be4f7f20472f5%22	https://cdn.linearicons.com/free/1.0.0/icon-font.min.css	C:/My%20Web%20Sites/portfolio/cdn.linearicons.com/free/1.0.0/icon-font.min.css	(from http://connectwithakash.blogspot.in/)
09:53:13	31000/31000	---MCZ	200	added ('OK')	text/css	date:Mon,%2024%20Oct%202016%2016:31:35%20GMT	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	C:/My%20Web%20Sites/portfolio/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	(from http://connectwithakash.blogspot.in/)
09:53:14	276261/276261	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2031%20Dec%202017%2004:23:12%20GMT	http://connectwithakash.blogspot.in/fonts/glyphicons-halflings-regular.eot	C:/My%20Web%20Sites/portfolio/connectwithakash.blogspot.in/fonts/glyphicons-halflings-regular.5.delayed	(from http://connectwithakash.blogspot.in/)
09:53:16	276261/276261	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2031%20Dec%202017%2004:23:13%20GMT	http://connectwithakash.blogspot.in/fonts/glyphicons-halflings-regular.eot?	C:/My%20Web%20Sites/portfolio/connectwithakash.blogspot.in/fonts/glyphicons-halflings-regular.6d41d.delayed	(from http://connectwithakash.blogspot.in/)
09:53:17	276267/276267	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2031%20Dec%202017%2004:23:15%20GMT	http://connectwithakash.blogspot.in/fonts/glyphicons-halflings-regular.woff	C:/My%20Web%20Sites/portfolio/connectwithakash.blogspot.in/fonts/glyphicons-halflings-regular.7.delayed	(from http://connectwithakash.blogspot.in/)
